raw_name,canonical_name
water,water
aqua,water
eau,water
aqua/water/eau,water
water/aqua/eau,water
purified water,water
deionized water,water
distilled water,water
water (aqua),water
glycerin,glycerin
glycerine,glycerin
glycerol,glycerin
phenoxyethanol,phenoxyethanol
linalool,linalool (allergen)
limonene,limonene (allergen)
citronellol,citronellol (allergen)
geraniol,geraniol (allergen)
citral,citral (allergen)
coumarin,coumarin (allergen)
benzyl salicylate,benzyl salicylate (allergen)
benzyl benzoate,benzyl benzoate (allergen)
hexyl cinnamal,hexyl cinnamal (allergen)
hydroxycitronellal,hydroxycitronellal (allergen)
alpha-isomethyl ionone,isomethyl ionone (allergen)
eugenol,eugenol (allergen)
isoeugenol,isoeugenol (allergen)
farnesol,farnesol (allergen)
butylphenyl methylpropional,butylphenyl methylpropional (allergen)
benzyl alcohol,benzyl alcohol
vitamin e,vitamin e
tocopheryl acetate,vitamin e
tocopherol,vitamin e
tocopherol.,vitamin e
citric acid,citric acid (aha)
citric acid.,citric acid (aha)
lactic acid,lactic acid (aha)
glycolic acid,glycolic acid (aha)
mandelic acid,mandelic acid (aha)
caprylyl glycol,caprylyl glycol
butylene glycol,butylene glycol
ethylhexylglycerin,ethylhexylglycerin
potassium sorbate,potassium sorbate
dimethicone,silicone (dimethicone)
simethicone,silicone (dimethicone)
sodium benzoate,sodium benzoate
hyaluronic acid,hyaluronic acid
sodium hyaluronate,hyaluronic acid
hydrolyzed hyaluronic acid,hyaluronic acid
caprylic/capric triglyceride,fractionated coconut oil
caprylic/capric triglyceride (fractionated coconut oil),fractionated coconut oil
silica,silica
propanediol,propanediol
xanthan gum,xanthan gum (thickener)
sodium hydroxide,sodium hydroxide (ph adjuster)
disodium edta,disodium edta (chelator)
cetearyl alcohol,cetearyl alcohol (emollient)
mica,mica (colorant)
panthenol,panthenol (provitamin b5)
bht,bht (antioxidant)
pentylene glycol,pentylene glycol
squalane,squalane
squalane.,squalane
*squalane.,squalane
squalene,squalane
fragrance,fragrance
parfum,fragrance
fragrance (parfum),fragrance
parfum (fragrance),fragrance
parfum/fragrance,fragrance
alcohol denat,denatured alcohol
alcohol denat.,denatured alcohol
denatured alcohol,denatured alcohol
sd alcohol,denatured alcohol
denatured ethyl alcohol,denatured alcohol
alcohol,alcohol
isopropyl alcohol,isopropyl alcohol
aqua/water/eau,water
titanium dioxide (ci 77891),titanium dioxide (mineral uv)
titanium dioxide,titanium dioxide (mineral uv)
zinc oxide,zinc oxide (mineral uv)
hexylene glycol,hexylene glycol
isododecane,isododecane (emollient)
glyceryl stearate,glyceryl stearate (emulsifier)
polysorbate 20,polysorbate 20 (emulsifier)
polysorbate 60,polysorbate 60 (emulsifier)
polysorbate 80,polysorbate 80 (emulsifier)
sodium chloride,sodium chloride
helianthus annuus (sunflower) seed oil,sunflower oil
helianthus annuus (sunflower) seed oil,sunflower oil
simmondsia chinensis (jojoba) seed oil,jojoba oil
ethylhexyl methoxycinnamate,octinoxate (uv filter)
ethylhexylmethoxycinnamate,octinoxate (uv filter)
ethylhexyl salicylate,octisalate (uv filter)
ethylhexylsalicylate,octisalate (uv filter)
butyl methoxydibenzoylmethane,avobenzone (uv filter)
butylmethoxydibenzoylmethane,avobenzone (uv filter)
niacinamide,niacinamide
nicotinamide,niacinamide
vitamin b3,niacinamide
camellia sinensis leaf extract,green tea extract
camellia sinensis (green tea) leaf extract,green tea extract
aloe barbadensis leaf juice,aloe vera
aloe barbadensis (aloe vera) leaf juice,aloe vera
aloe vera,aloe vera
lecithin,lecithin (emulsifier)
polyethylene,polyethylene
octyldodecanol,octyldodecanol (emollient)
disteardimonium hectorite,disteardimonium hectorite (thickener)
caffeine,caffeine
